States/UTs,Total-2012
Andhra Pradesh,4537
Arunachal Pradesh,2027
Assam,2940
Bihar,4105
Chhattisgarh,2289
Goa,269
Gujarat,4032
Haryana,1633
Himachal Pradesh,1506
Jammu and Kashmir,1245
Jharkhand,2170
Karnataka,4396
Kerala,1457
Madhya Pradesh,5064
Maharashtra,4257
Manipur,1317
Meghalaya,1171
Mizoram,1027
Nagaland,494
Odisha,3704
Punjab,1557
Rajasthan,7130
Sikkim,149
Tamil Nadu,4943
Tripura,400
Uttarakhand,2042
Uttar Pradesh,7818
West Bengal,2681
Andaman and Nicobar Islands,300
Chandigarh,24
Delhi,80
Puducherry,53
All INDIA,76818
